,Electronics,3.0,OR,"my fault, i bought the wrong thing. then product is probably good.",,
,Electronics,4.0,OR,I'm partial to Garmin for gps products...great to have on the road.,,
,Electronics,5.0,OR,"Perfect simple remote to control my TV, DVD, and ROKU. Unbeatable value.",,
,Electronics,1.0,OR,Stopped working after less than a year.  Don't waste your money.,,
,Electronics,5.0,OR,"Great product, perfect size fore a guest bed room - good price",,
,Electronics,5.0,OR,This cable really makes the connection for me. Nice and thick too.,,
,Electronics,5.0,OR,Very easy install and seems to work well with Dragon Naturally Speaking.,,
,Electronics,5.0,OR,Realy love it.  Did wat it says and so much more.,,
,Electronics,5.0,OR,It has been 4 months and it still works like a champ.,,
,Electronics,4.0,OR,"Great, I only wish that you could roll in the entire wire.",,
,Electronics,3.0,OR,Had to pull one end out a little bit to make connection,,
,Electronics,5.0,OR,"Gets very warm if you plug in multiple devices, otherwise works great.",,
,Electronics,5.0,CG,Nice product for the money.  I love the feel of the lens.  The only thing that,,
,Electronics,5.0,CG,"Brilliant.  Much smaller than the ones I bought, which I also love, and the",,
,Electronics,5.0,CG,"Love it.!!! Of all the things I love about the sound of this speaker, it's the",,
,Electronics,5.0,CG,Fabulous - easy to set up and easy to use. I will keep my iPad in this bag,,
,Electronics,2.0,CG,"didn't quite sit flat on the table, but it worked perfectly.  I just got this one",,
,Electronics,5.0,CG,Works just like the adapter that came with the camera. I also love that it's been one of,,
,Electronics,3.0,CG,"Arrived on time, well poackaged.  I love the materials and the construction. ",,
,Electronics,1.0,CG,The Speakers Do Not Fit My iPod The Speakers DO NOT Fit My iPod The Speakers DO,,
,Electronics,5.0,CG,"does what it says it will do, and it is a great product for the price.",,
,Electronics,5.0,CG,"Great system. Easy to install and has the quality to boot.

The only reason I gave",,
,Electronics,5.0,CG,Needed these for a tight fit. The only problem is that they are too small for my desk,,
,Electronics,5.0,CG,Works great controlling my Raspberry Pi. The only problem is that it's only 2.,,
,Electronics,5.0,CG,"Nice sound, easy to install, and the quality is good.

The only reason I gave",,
,Electronics,5.0,CG,"fits like a glove!
I used this to make an acoustic speaker for a friend who is a",,
,Electronics,2.0,CG,"The left channel went out and the right channel went in.

The only reason I ordered this",,
